(myenv) root@I238814728d00a016b3:~/lingchen/Universal-Adversarial-Prompt-Attacks-on-VLMs# python src/test.py 
Loading checkpoint shards: 100%|██████████████████████████████████████████████| 5/5 [00:08<00:00,  1.74s/it]
Step 112/500, Loss=0.746094
Step 113/500, Loss=0.742188
Step 114/500, Loss=0.742188
Step 115/500, Loss=0.742188
Step 116/500, Loss=0.738281
Step 117/500, Loss=0.734375
Step 118/500, Loss=0.734375
Step 119/500, Loss=0.730469
Step 120/500, Loss=0.730469
output_text=['The image is entirely black with no discernible features, objects, or patterns. It appears to be a completely uniform black square.']
Step 121/500, Loss=0.738281
Step 122/500, Loss=0.738281
Step 123/500, Loss=0.738281
Step 124/500, Loss=0.734375
Step 125/500, Loss=0.734375
Step 126/500, Loss=0.742188
Step 127/500, Loss=0.757812
Step 128/500, Loss=0.753906
Step 129/500, Loss=0.750000
Step 130/500, Loss=0.750000
Step 131/500, Loss=0.750000
Step 132/500, Loss=0.742188
Step 133/500, Loss=0.753906
Step 134/500, Loss=0.742188
Step 135/500, Loss=0.742188
Step 136/500, Loss=0.742188
Step 137/500, Loss=0.738281
Step 138/500, Loss=0.738281
Step 139/500, Loss=0.734375
Step 140/500, Loss=0.734375
output_text=['The image appears to be a completely black square with no discernible features, objects, or patterns. It is uniformly dark throughout, suggesting it might be an error in image loading or a placeholder for a missing image.']
Step 141/500, Loss=0.738281
Step 142/500, Loss=0.730469
Step 143/500, Loss=0.730469
Step 144/500, Loss=0.726562
Step 145/500, Loss=0.722656
Step 146/500, Loss=0.722656
Step 147/500, Loss=0.726562
Step 148/500, Loss=0.730469
Step 149/500, Loss=0.722656
Step 150/500, Loss=0.726562
Step 151/500, Loss=0.734375
Step 152/500, Loss=0.726562
Step 153/500, Loss=0.726562
Step 154/500, Loss=0.718750
Step 155/500, Loss=0.714844
Step 156/500, Loss=0.714844
Step 157/500, Loss=0.714844
Step 158/500, Loss=0.714844
Step 159/500, Loss=0.710938
Step 160/500, Loss=0.710938
output_text=['The image appears to be a completely black square with no discernible features, objects, or patterns. It is uniformly dark throughout, suggesting it might be an error in image loading or a placeholder for a missing image.']
Step 161/500, Loss=0.707031
Step 162/500, Loss=0.707031
Step 163/500, Loss=0.703125
Step 164/500, Loss=0.703125
Step 165/500, Loss=0.703125
Step 166/500, Loss=0.699219
Step 167/500, Loss=0.699219
Step 168/500, Loss=0.699219
Step 169/500, Loss=0.699219
Step 170/500, Loss=0.695312
Step 171/500, Loss=0.695312
Step 172/500, Loss=0.691406
Step 173/500, Loss=0.687500
Step 174/500, Loss=0.687500
Step 175/500, Loss=0.683594
Step 176/500, Loss=0.683594
Step 177/500, Loss=0.683594
Step 178/500, Loss=0.679688
Step 179/500, Loss=0.679688
Step 180/500, Loss=0.683594
output_text=['The image appears to be a black and white photograph of a dark, textured surface. The central part of the image is lighter, possibly due to a reflection or a light source, while the surrounding areas are darker. The texture suggests it might be a close-up of a fabric or a similar material with a patterned or woven structure. The overall impression is one of depth and contrast.']
Step 181/500, Loss=0.687500
Step 182/500, Loss=0.683594
Step 183/500, Loss=0.687500
Step 184/500, Loss=0.683594
Step 185/500, Loss=0.679688
Step 186/500, Loss=0.675781
Step 187/500, Loss=0.679688
Step 188/500, Loss=0.671875
Step 189/500, Loss=0.671875
Step 190/500, Loss=0.671875
Step 191/500, Loss=0.667969
Step 192/500, Loss=0.664062
Step 193/500, Loss=0.667969
Step 194/500, Loss=0.687500
Step 195/500, Loss=0.683594
Step 196/500, Loss=0.687500
Step 197/500, Loss=0.679688
Step 198/500, Loss=0.683594
Step 199/500, Loss=0.687500
Step 200/500, Loss=0.683594
output_text=['The image appears to be a completely black square with no discernible features, objects, or patterns. It is uniformly dark throughout, suggesting it might be an error in image loading or a placeholder for a missing image.']
Step 201/500, Loss=0.679688
Step 202/500, Loss=0.683594
Step 203/500, Loss=0.679688
Step 204/500, Loss=0.675781
Step 205/500, Loss=0.671875
Step 206/500, Loss=0.667969
Step 207/500, Loss=0.667969
Step 208/500, Loss=0.660156
Step 209/500, Loss=0.656250
Step 210/500, Loss=0.652344
Step 211/500, Loss=0.652344
Step 212/500, Loss=0.644531
Step 213/500, Loss=0.644531
Step 214/500, Loss=0.640625
Step 215/500, Loss=0.640625
Step 216/500, Loss=0.648438
Step 217/500, Loss=0.640625
Step 218/500, Loss=0.640625
Step 219/500, Loss=0.636719
Step 220/500, Loss=0.632812
output_text=["The image appears to be a close-up of an apple, but the entire image is predominantly black with some subtle variations in shading and texture that suggest the surface of the apple. The lighting is minimal, creating a high contrast between the dark areas and the faint highlights on the apple's surface. There are no distinct features or colors visible beyond the black and very light gray tones."]
Step 221/500, Loss=0.628906
Step 222/500, Loss=0.625000
Step 223/500, Loss=0.628906
Step 224/500, Loss=0.625000
Step 225/500, Loss=0.625000
Step 226/500, Loss=0.625000
Step 227/500, Loss=0.632812
Step 228/500, Loss=0.621094
Step 229/500, Loss=0.621094
Step 230/500, Loss=0.617188
Step 231/500, Loss=0.613281
Step 232/500, Loss=0.609375
Step 233/500, Loss=0.605469
Step 234/500, Loss=0.605469
Step 235/500, Loss=0.601562
Step 236/500, Loss=0.593750
Step 237/500, Loss=0.597656
Step 238/500, Loss=0.605469
Step 239/500, Loss=0.601562
Step 240/500, Loss=0.597656
output_text=['The image appears to be a close-up of an apple against a dark background. The apple is partially illuminated, with the light highlighting its smooth surface and the small stem at the top. The overall tone of the image is quite dark, with the apple being the main focus due to the contrast between the light and shadow.']
Step 241/500, Loss=0.597656
Step 242/500, Loss=0.593750
Step 243/500, Loss=0.589844
Step 244/500, Loss=0.593750
Step 245/500, Loss=0.589844
Step 246/500, Loss=0.585938
Step 247/500, Loss=0.582031
Step 248/500, Loss=0.578125
Step 249/500, Loss=0.578125
Step 250/500, Loss=0.574219
Step 251/500, Loss=0.574219
Step 252/500, Loss=0.578125
Step 253/500, Loss=0.578125
Step 254/500, Loss=0.570312
Step 255/500, Loss=0.570312
Step 256/500, Loss=0.566406
Step 257/500, Loss=0.562500
Step 258/500, Loss=0.562500
Step 259/500, Loss=0.558594
Step 260/500, Loss=0.558594
output_text=['The image shows a close-up of an apple with a leaf attached to its stem. The apple is in focus, and the background is completely black, which makes the apple stand out prominently. The lighting highlights the texture and smooth surface of the apple, giving it a shiny appearance. The leaf is partially visible, adding a natural element to the composition.']
Step 261/500, Loss=0.554688
Step 262/500, Loss=0.550781
Step 263/500, Loss=0.546875
Step 264/500, Loss=0.546875
Step 265/500, Loss=0.546875
Step 266/500, Loss=0.542969
Step 267/500, Loss=0.546875
Step 268/500, Loss=0.558594
Step 269/500, Loss=0.566406
Step 270/500, Loss=0.554688
Step 271/500, Loss=0.558594
Step 272/500, Loss=0.554688
Step 273/500, Loss=0.550781
Step 274/500, Loss=0.550781
Step 275/500, Loss=0.546875
Step 276/500, Loss=0.542969
Step 277/500, Loss=0.539062
Step 278/500, Loss=0.539062
Step 279/500, Loss=0.535156
Step 280/500, Loss=0.531250
output_text=['The image shows two apples placed closely together against a dark background. The apple in the foreground is partially obscured by the one behind it, which is slightly out of focus. Both apples have a smooth texture and a shiny surface, reflecting light. The apple in the foreground has a small green leaf attached to its stem. The overall lighting is dim, creating a contrast between the apples and the dark background.']
Step 281/500, Loss=0.531250
Step 282/500, Loss=0.527344
Step 283/500, Loss=0.523438
Step 284/500, Loss=0.523438
Step 285/500, Loss=0.523438
Step 286/500, Loss=0.523438
Step 287/500, Loss=0.519531
Step 288/500, Loss=0.515625
Step 289/500, Loss=0.515625
Step 290/500, Loss=0.515625
Step 291/500, Loss=0.511719
Step 292/500, Loss=0.511719
Step 293/500, Loss=0.507812
Step 294/500, Loss=0.503906
Step 295/500, Loss=0.503906
Step 296/500, Loss=0.503906
Step 297/500, Loss=0.500000
Step 298/500, Loss=0.500000
Step 299/500, Loss=0.498047
Step 300/500, Loss=0.500000
output_text=['The image shows two apples placed closely together against a dark background. The apple in the foreground is slightly out of focus, while the one in the background is more in focus. Both apples have a smooth texture and a shiny surface, reflecting light. One of the apples has a small green leaf attached to it, which is also in focus. The overall lighting is soft, creating a subtle shadow beneath each apple.']
Step 301/500, Loss=0.500000
Step 302/500, Loss=0.496094
Step 303/500, Loss=0.496094
Step 304/500, Loss=0.494141
Step 305/500, Loss=0.494141
Step 306/500, Loss=0.490234
Step 307/500, Loss=0.492188
Step 308/500, Loss=0.488281
Step 309/500, Loss=0.490234
Step 310/500, Loss=0.488281
Step 311/500, Loss=0.486328
Step 312/500, Loss=0.482422
Step 313/500, Loss=0.484375
Step 314/500, Loss=0.480469
Step 315/500, Loss=0.478516
Step 316/500, Loss=0.478516
Step 317/500, Loss=0.474609
Step 318/500, Loss=0.474609
Step 319/500, Loss=0.472656
Step 320/500, Loss=0.472656
output_text=['The image shows two apples placed closely together against a dark background. The apple in the foreground is slightly larger and more prominent, with a visible stem and a small leaf attached to it. The surface of the apple has a smooth texture with some subtle highlights that suggest a shiny skin. The lighting is focused on the apples, creating a contrast between the illuminated parts and the darker areas, which enhances the three-dimensional appearance of the fruit. The overall composition is simple and emphasizes the natural form and texture of the apples.']
Step 321/500, Loss=0.470703
Step 322/500, Loss=0.474609
Step 323/500, Loss=0.472656
Step 324/500, Loss=0.470703
Step 325/500, Loss=0.470703
Step 326/500, Loss=0.470703
Step 327/500, Loss=0.466797
Step 328/500, Loss=0.466797
Step 329/500, Loss=0.468750
Step 330/500, Loss=0.470703
Step 331/500, Loss=0.470703
Step 332/500, Loss=0.468750
Step 333/500, Loss=0.466797
Step 334/500, Loss=0.462891
Step 335/500, Loss=0.462891
Step 336/500, Loss=0.464844
Step 337/500, Loss=0.462891
Step 338/500, Loss=0.460938
Step 339/500, Loss=0.460938
Step 340/500, Loss=0.460938
output_text=['The image shows two apples placed closely together against a dark background. The apple on the right has a small green leaf attached to it, which is pointing upwards. The apples appear to be of a similar variety and have a smooth, shiny surface with some small speckles or blemishes visible. The lighting highlights the texture and contours of the apples, making them stand out prominently against the dark backdrop.']
Step 341/500, Loss=0.457031
Step 342/500, Loss=0.458984
Step 343/500, Loss=0.457031
Step 344/500, Loss=0.455078
Step 345/500, Loss=0.455078
Step 346/500, Loss=0.453125
Step 347/500, Loss=0.453125
Step 348/500, Loss=0.451172
Step 349/500, Loss=0.453125
Step 350/500, Loss=0.451172
Step 351/500, Loss=0.449219
Step 352/500, Loss=0.449219
Step 353/500, Loss=0.447266
Step 354/500, Loss=0.447266
Step 355/500, Loss=0.445312
Step 356/500, Loss=0.443359
Step 357/500, Loss=0.447266
Step 358/500, Loss=0.445312
Step 359/500, Loss=0.443359
Step 360/500, Loss=0.441406
output_text=['The image shows two apples placed closely together against a dark background. The apple in the foreground is slightly larger and more prominent, with a shiny surface that reflects light, giving it a glossy appearance. It has a small green leaf attached to its stem. The second apple, partially obscured by the first, appears smaller and less detailed due to the lighting and angle. The overall composition creates a simple yet striking visual contrast between the bright, reflective surface of the apples and the dark background.']
Step 361/500, Loss=0.441406
Step 362/500, Loss=0.441406
Step 363/500, Loss=0.441406
Step 364/500, Loss=0.439453
Step 365/500, Loss=0.439453
Step 366/500, Loss=0.437500
Step 367/500, Loss=0.435547
Step 368/500, Loss=0.435547
Step 369/500, Loss=0.435547
Step 370/500, Loss=0.437500
Step 371/500, Loss=0.437500
Step 372/500, Loss=0.437500
Step 373/500, Loss=0.435547
Step 374/500, Loss=0.437500
Step 375/500, Loss=0.433594
Step 376/500, Loss=0.433594
Step 377/500, Loss=0.435547
Step 378/500, Loss=0.431641
Step 379/500, Loss=0.433594
Step 380/500, Loss=0.429688
output_text=["The image shows two apples placed closely together against a dark background. The apple in the foreground is slightly larger and more prominent, with a shiny surface that reflects light, giving it a glossy appearance. It has a small green leaf attached to its stem. The second apple, partially obscured by the first, appears smaller and is also shiny, suggesting it is fresh and ripe. The overall lighting highlights the texture and smoothness of the apples' skin."]
Step 381/500, Loss=0.431641
Step 382/500, Loss=0.429688
Step 383/500, Loss=0.431641
Step 384/500, Loss=0.429688
Step 385/500, Loss=0.431641
Step 386/500, Loss=0.433594
Step 387/500, Loss=0.429688
Step 388/500, Loss=0.429688
Step 389/500, Loss=0.427734
Step 390/500, Loss=0.427734
Step 391/500, Loss=0.425781
Step 392/500, Loss=0.425781
Step 393/500, Loss=0.423828
Step 394/500, Loss=0.423828
Step 395/500, Loss=0.421875
Step 396/500, Loss=0.423828
Step 397/500, Loss=0.421875
Step 398/500, Loss=0.419922
Step 399/500, Loss=0.423828
Step 400/500, Loss=0.423828
output_text=["The image shows two apples placed closely together against a dark background. The apple in the foreground is slightly larger and more prominent, with a shiny surface that reflects light, giving it a glossy appearance. It has a small green leaf attached to its stem. The second apple, partially obscured by the first, appears smaller and is also shiny, suggesting it is fresh and possibly ripe. The overall lighting highlights the texture and smoothness of the apples' skin."]
Step 401/500, Loss=0.421875
Step 402/500, Loss=0.421875
Step 403/500, Loss=0.421875
Step 404/500, Loss=0.421875
Step 405/500, Loss=0.421875
Step 406/500, Loss=0.419922
Step 407/500, Loss=0.417969
Step 408/500, Loss=0.417969
Step 409/500, Loss=0.419922
Step 410/500, Loss=0.417969
Step 411/500, Loss=0.417969
Step 412/500, Loss=0.416016
Step 413/500, Loss=0.416016
Step 414/500, Loss=0.414062
Step 415/500, Loss=0.414062
Step 416/500, Loss=0.414062
Step 417/500, Loss=0.416016
Step 418/500, Loss=0.414062
Step 419/500, Loss=0.414062
Step 420/500, Loss=0.414062
output_text=["The image shows two apples placed closely together against a dark background. The apple in the foreground is slightly larger and more prominent, with a shiny surface that reflects light, giving it a glossy appearance. It has a small green leaf attached to its stem. The second apple, partially obscured by the first, appears smaller and is also shiny, suggesting it is fresh and ripe. The overall lighting highlights the texture and smoothness of the apples' skin."]
Step 421/500, Loss=0.412109
Step 422/500, Loss=0.412109
Step 423/500, Loss=0.410156
Step 424/500, Loss=0.412109
Step 425/500, Loss=0.412109
Step 426/500, Loss=0.410156
Step 427/500, Loss=0.410156
Step 428/500, Loss=0.410156
Step 429/500, Loss=0.410156
Step 430/500, Loss=0.410156
Step 431/500, Loss=0.410156
Step 432/500, Loss=0.408203
Step 433/500, Loss=0.408203
Step 434/500, Loss=0.408203
Step 435/500, Loss=0.410156
Step 436/500, Loss=0.406250
Step 437/500, Loss=0.406250
Step 438/500, Loss=0.406250
Step 439/500, Loss=0.406250
Step 440/500, Loss=0.404297
output_text=['The image shows two apples placed closely together against a dark background. The apple on the left is partially obscured by the one on the right, which is more prominently displayed. Both apples have a smooth, shiny surface with a few small specks visible, indicating they might be fresh and possibly organic. Each apple has a green leaf attached at the stem, adding a natural touch to the composition. The lighting highlights the texture and contours of the apples, making them stand out against the dark backdrop.']
Step 441/500, Loss=0.406250
Step 442/500, Loss=0.406250
Step 443/500, Loss=0.406250
Step 444/500, Loss=0.404297
Step 445/500, Loss=0.404297
Step 446/500, Loss=0.404297
Step 447/500, Loss=0.404297
Step 448/500, Loss=0.402344
Step 449/500, Loss=0.402344
Step 450/500, Loss=0.402344
Step 451/500, Loss=0.402344
Step 452/500, Loss=0.404297
Step 453/500, Loss=0.402344
Step 454/500, Loss=0.402344
Step 455/500, Loss=0.402344
Step 456/500, Loss=0.400391
Step 457/500, Loss=0.402344
Step 458/500, Loss=0.402344
Step 459/500, Loss=0.402344
Step 460/500, Loss=0.400391
output_text=["The image shows two apples placed closely together against a dark background. The apple on the left is partially obscured by the one on the right, which is more prominently displayed. Both apples have a smooth, shiny surface with a few small specks visible, suggesting they might be a variety of apple known for its skin texture. Each apple has a small stem and a leaf attached to it, indicating they are fresh and recently picked. The lighting highlights the glossy texture of the apples' skin, creating a contrast with the dark background."]
Step 461/500, Loss=0.400391
Step 462/500, Loss=0.400391
Step 463/500, Loss=0.400391
Step 464/500, Loss=0.398438
Step 465/500, Loss=0.400391
Step 466/500, Loss=0.400391
Step 467/500, Loss=0.400391
Step 468/500, Loss=0.400391
Step 469/500, Loss=0.398438
Step 470/500, Loss=0.398438
Step 471/500, Loss=0.398438
Step 472/500, Loss=0.398438
Step 473/500, Loss=0.400391
Step 474/500, Loss=0.398438
Step 475/500, Loss=0.398438
Step 476/500, Loss=0.396484
Step 477/500, Loss=0.396484
Step 478/500, Loss=0.394531
Step 479/500, Loss=0.396484
Step 480/500, Loss=0.396484
output_text=['The image shows two apples placed side by side against a plain, light background. The apple on the left is slightly out of focus and appears darker in color, while the apple on the right is in sharp focus and has a shiny, reflective surface with a green leaf attached to its stem. The lighting highlights the texture and contours of the apple on the right, making it stand out more prominently.']
Step 481/500, Loss=0.398438
Step 482/500, Loss=0.396484
Step 483/500, Loss=0.396484
Step 484/500, Loss=0.396484
Step 485/500, Loss=0.396484
Step 486/500, Loss=0.396484
Step 487/500, Loss=0.396484
Step 488/500, Loss=0.394531
Step 489/500, Loss=0.396484
Step 490/500, Loss=0.394531
Step 491/500, Loss=0.394531
Step 492/500, Loss=0.394531
Step 493/500, Loss=0.394531
Step 494/500, Loss=0.394531
Step 495/500, Loss=0.394531
Step 496/500, Loss=0.394531
Step 497/500, Loss=0.394531
Step 498/500, Loss=0.394531
Step 499/500, Loss=0.392578
Step 500/500, Loss=0.392578
output_text=['The image shows two red apples with a smooth, shiny surface. One apple is slightly in front of the other, and both have small green leaves attached to them. The background is plain white, which makes the apples stand out prominently. The lighting highlights the texture and color of the apples, giving them a fresh and vibrant appearance.']

✅ 对抗优化完成，已保存到 adv_reconstructed.png
